Depth(m) Code COT DT GR NPHI RHOB
4493.1999 54 0.31747249165773406 84.1035 36.34069 30.66454 2.609911
4493.3999 54 0.21807068390876938 80.13918 35.49803 29.02637 2.554766
4493.5999 54 0.37480086790819495 81.40507 42.18192 29.78493 2.551492
4493.7999 54 0.4608509191886812 82.87521 44.58481 29.07072 2.54773
4493.9999 54 0.3957706744473796 83.04896 46.04676 29.07872 2.544643
4494.1999 54 0.3594114408518705 83.0341 43.9125 30.07599 2.548573
4494.3999 54 0.3614006758156008 83.51596 40.31899 29.58428 2.543072
4494.5999 54 0.47900984413762 83.44415 41.31411 30.87481 2.531814
4494.7999 54 0.6939056206288281 82.82066 47.75433 32.30111 2.507592
4494.9999 54 0.8741558891820147 83.33106 51.47447 31.61961 2.498861
4495.1999 54 0.8211482110711685 85.18243 47.82159 30.88817 2.533782
4495.3999 54 0.848562208820731 89.5759 46.4048 28.98766 2.553655
4495.5999 54 0.9649178181436102 90.85 50.05873 27.86086 2.539807
4495.7999 54 0.9432623276189092 85.71779 53.10365 26.34447 2.549847
4495.9999 54 0.8673041542786637 80.8468 51.49864 25.06832 2.559895
4496.1999 54 0.7933560759107454 80.40355 47.37373 23.61362 2.536951
4496.3999 54 0.6823994640758555 79.98278 43.71311 25.91057 2.499492
4496.5999 54 0.6345160217582435 79.69452 45.57825 30.83359 2.471967
4496.7999 54 0.6403313168181508 82.27951 48.16873 33.01519 2.491981
4496.9999 54 0.7484263958362876 88.03038 50.69474 29.6876 2.542831
4497.1999 54 0.880724356415177 92.36766 53.53206 25.40712 2.557041
4497.3999 54 0.9216405853011465 91.41856 54.80653 23.37055 2.538139
4497.5999 54 0.8897316241262214 86.39328 52.56489 23.13019 2.537127
4497.7999 54 0.8290408918209966 82.53187 45.70194 22.57651 2.540807
4497.9999 54 0.7935577510169329 81.42765 40.07645 22.15439 2.532695
4498.1999 54 0.859676620630097 81.14256 41.48011 23.09305 2.524024
4498.3999 54 0.8721401681754608 81.03214 42.83401 23.26689 2.52929
4498.5999 54 0.8980134531613342 81.44421 45.27241 23.79012 2.536464
4498.7999 54 0.9281895432722751 82.18805 48.97951 25.7278 2.535191
4498.9999 54 0.8343729853023107 82.35002 47.618 28.64055 2.509916
4499.1999 54 0.7333427264447812 82.91632 43.7271 31.58682 2.489096
4499.3999 54 0.753574017597554 86.70964 42.08548 30.59804 2.511184
4499.5999 57 0.9956828281755157 91.60939 51.61937 25.9458 2.537282
4499.7999 57 1.1699259710463654 92.21075 58.73698 23.69328 2.534827
4499.9999 57 1.0867717601832565 87.63718 55.17056 22.9177 2.530016
4500.1999 57 0.9366319982891254 83.11124 49.14103 24.1484 2.531188
4500.3999 57 0.8611562639926729 82.18856 44.47442 25.89707 2.549835
4500.5999 54 0.8813812734354638 83.14348 44.40974 25.99206 2.545798
4500.7999 54 0.8746372435709879 83.56898 44.38877 24.86139 2.525474
4500.9999 54 0.8854834897201005 85.08541 43.98989 24.96902 2.524068
4501.1999 54 0.8470613531972537 84.88236 42.77676 24.52791 2.524591
4501.3999 54 0.803502964413908 83.96825 42.308 23.82975 2.520627
4501.5999 54 0.8177251827982017 83.87437 44.95195 24.7323 2.516871
4501.7999 54 0.8152257428933651 83.77855 47.20447 27.51508 2.514868
4501.9999 54 0.7815771726753562 84.40539 48.42514 28.67017 2.53563
4502.1999 54 0.8012741322641477 87.24754 51.62518 26.26793 2.563463
